"Indicator","Age Group","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"BMI ? 25 (age-standardized estimate)","20+","Burkina Faso","Male","2008","Africa","11.9 [4.5-23.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Burundi","Male","2008","Africa","16.0 [3.3-37.4]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Cambodia","Male","2008","Western Pacific","11.4 [7.7-16.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Cameroon","Male","2008","Africa","32.6 [22.3-43.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Canada","Male","2008","Americas","65.7 [62.2-69.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Cape Verde","Male","2008","Africa","30.8 [23.8-37.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Central African Republic","Male","2008","Africa","12.4 [2.3-32.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Chad","Male","2008","Africa","14.6 [6.4-25.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Chile","Male","2008","Americas","64.2 [56.4-70.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","China","Male","2008","Western Pacific","25.1 [20.8-29.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Colombia","Male","2008","Americas","44.9 [38.6-51.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Comoros","Male","2008","Africa","19.4 [5.3-39.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Congo","Male","2008","Africa","16.9 [6.6-30.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Cook Islands","Male","2008","Western Pacific","91.0 [87.8-93.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Costa Rica","Male","2008","Americas","60.3 [51.1-68.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Côte d'Ivoire","Male","2008","Africa","21.8 [10.3-35.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Croatia","Male","2008","Europe","61.6 [49.2-72.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Cuba","Male","2008","Americas","47.5 [35.6-59.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Cyprus","Male","2008","Europe","64.6 [55.9-72.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Czech Republic","Male","2008","Europe","69.9 [64.8-74.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Democratic People's Republic of Korea","Male","2008","South-East Asia","19.6 [4.3-43.0]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Democratic Republic of the Congo","Male","2008","Africa","6.1 [1.9-14.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Denmark","Male","2008","Europe","54.6 [42.7-64.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Djibouti","Male","2008","Eastern Mediterranean","30.2 [10.1-53.0]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Dominica","Male","2008","Americas","41.4 [34.0-49.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Dominican Republic","Male","2008","Americas","49.6 [36.3-62.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Ecuador","Male","2008","Americas","51.8 [35.8-66.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Egypt","Male","2008","Eastern Mediterranean","62.4 [53.5-69.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","El Salvador","Male","2008","Americas","59.1 [44.4-71.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Equatorial Guinea","Male","2008","Africa","33.0 [9.8-60.6]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Eritrea","Male","2008","Africa","9.6 [5.3-15.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Estonia","Male","2008","Europe","57.8 [44.8-68.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Ethiopia","Male","2008","Africa","7.1 [3.3-12.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Fiji","Male","2008","Western Pacific","60.1 [49.7-68.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Finland","Male","2008","Europe","59.6 [53.5-65.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","France","Male","2008","Europe","52.0 [46.1-57.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Gabon","Male","2008","Africa","36.5 [27.3-46.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Gambia","Male","2008","Africa","14.9 [6.8-26.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Georgia","Male","2008","Europe","50.7 [28.5-70.3]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Germany","Male","2008","Europe","62.8 [56.7-68.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Ghana","Male","2008","Africa","24.2 [18.8-29.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Greece","Male","2008","Europe","56.6 [47.1-65.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Grenada","Male","2008","Americas","49.0 [26.6-68.9]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Guatemala","Male","2008","Americas","48.6 [36.3-60.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Guinea","Male","2008","Africa","22.2 [6.4-42.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Guinea-Bissau","Male","2008","Africa","15.3 [3.7-34.5]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Guyana","Male","2008","Americas","34.6 [12.7-57.7]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Haiti","Male","2008","Americas","35.0 [13.4-57.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Honduras","Male","2008","Americas","46.7 [31.8-62.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Hungary","Male","2008","Europe","65.8 [53.9-76.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Iceland","Male","2008","Europe","63.6 [51.6-73.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","India","Male","2008","South-East Asia","10.0 [7.4-13.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Indonesia","Male","2008","South-East Asia","16.1 [11.0-21.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Iran (Islamic Republic of)","Male","2008","Eastern Mediterranean","48.8 [43.6-54.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Iraq","Male","2008","Eastern Mediterranean","62.2 [55.1-68.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Ireland","Male","2008","Europe","67.1 [63.0-70.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Israel","Male","2008","Europe","62.5 [56.9-67.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Italy","Male","2008","Europe","58.3 [51.8-63.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Jamaica","Male","2008","Americas","40.7 [34.6-47.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Japan","Male","2008","Western Pacific","28.9 [25.0-32.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Jordan","Male","2008","Eastern Mediterranean","66.5 [61.7-71.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Kazakhstan","Male","2008","Europe","57.0 [37.9-71.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Kenya","Male","2008","Africa","15.2 [4.6-31.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Kiribati","Male","2008","Western Pacific","78.4 [72.9-83.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Kuwait","Male","2008","Eastern Mediterranean","78.1 [74.1-81.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Kyrgyzstan","Male","2008","Europe","43.4 [26.4-60.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Lao People's Democratic Republic","Male","2008","Western Pacific","11.6 [4.9-21.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Latvia","Male","2008","Europe","59.4 [46.6-70.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Lebanon","Male","2008","Eastern Mediterranean","67.0 [62.8-70.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Lesotho","Male","2008","Africa","17.3 [4.2-38.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Liberia","Male","2008","Africa","17.7 [4.4-37.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Libya","Male","2008","Eastern Mediterranean","60.4 [54.7-65.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Lithuania","Male","2008","Europe","62.8 [50.4-72.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Luxembourg","Male","2008","Europe","64.0 [49.7-76.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Madagascar","Male","2008","Africa","12.6 [6.9-20.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Malawi","Male","2008","Africa","16.7 [12.1-22.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Malaysia","Male","2008","Western Pacific","42.4 [36.5-48.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Maldives","Male","2008","South-East Asia","29.4 [8.6-54.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Mali","Male","2008","Africa","15.3 [7.9-25.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Malta","Male","2008","Europe","66.8 [53.4-77.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Marshall Islands","Male","2008","Western Pacific","78.2 [71.7-83.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Mauritania","Male","2008","Africa","22.8 [11.1-35.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Mauritius","Male","2008","Africa","46.7 [33.8-59.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Mexico","Male","2008","Americas","67.8 [62.9-71.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Micronesia (Federated States of)","Male","2008","Western Pacific","71.4 [63.2-78.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Monaco","Male","2008","Europe","...","","","","
        No data available.  Estimate could not be calculated due to lack of covariate data.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Mongolia","Male","2008","Western Pacific","44.4 [39.5-49.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Montenegro","Male","2008","Europe","61.3 [39.6-77.5]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Morocco","Male","2008","Eastern Mediterranean","43.1 [32.5-54.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Mozambique","Male","2008","Africa","16.5 [10.4-24.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Myanmar","Male","2008","South-East Asia","13.8 [9.6-18.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Namibia","Male","2008","Africa","23.3 [15.5-31.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Nauru","Male","2008","Western Pacific","93.5 [91.0-95.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Nepal","Male","2008","South-East Asia","9.8 [2.8-22.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Netherlands","Male","2008","Europe","52.4 [46.0-57.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","New Zealand","Male","2008","Western Pacific","67.8 [63.7-71.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Nicaragua","Male","2008","Americas","53.3 [37.7-66.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Niger","Male","2008","Africa","11.0 [7.2-16.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Nigeria","Male","2008","Africa","26.2 [15.5-37.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Niue","Male","2008","Western Pacific","...","","","","
        No data available.  Estimate could not be calculated due to lack of covariate data.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Norway","Male","2008","Europe","62.3 [55.5-68.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Oman","Male","2008","Eastern Mediterranean","57.8 [47.8-66.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Pakistan","Male","2008","Eastern Mediterranean","20.0 [10.3-31.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Palau","Male","2008","Western Pacific","81.9 [69.6-90.6]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Panama","Male","2008","Americas","58.2 [47.2-68.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Papua New Guinea","Male","2008","Western Pacific","45.4 [37.7-53.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Paraguay","Male","2008","Americas","50.9 [26.6-72.3]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Peru","Male","2008","Americas","43.3 [36.9-50.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Philippines","Male","2008","Western Pacific","24.5 [17.1-32.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Poland","Male","2008","Europe","61.6 [55.9-66.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Portugal","Male","2008","Europe","59.7 [51.4-66.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Qatar","Male","2008","Eastern Mediterranean","72.5 [68.0-76.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Republic of Korea","Male","2008","Western Pacific","33.4 [28.5-38.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Republic of Moldova","Male","2008","Europe","38.7 [14.7-62.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Romania","Male","2008","Europe","51.7 [38.3-63.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Russian Federation","Male","2008","Europe","55.8 [50.9-60.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Rwanda","Male","2008","Africa","24.0 [6.0-47.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Saint Kitts and Nevis","Male","2008","Americas","72.7 [66.0-78.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Saint Lucia","Male","2008","Americas","44.1 [25.4-62.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Saint Vincent and the Grenadines","Male","2008","Americas","51.8 [29.8-70.3]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Samoa","Male","2008","Western Pacific","82.6 [77.1-87.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","San Marino","Male","2008","Europe","...","","","","
        No data available.  Estimate could not be calculated due to lack of covariate data.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Sao Tome and Principe","Male","2008","Africa","30.9 [23.3-38.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Saudi Arabia","Male","2008","Eastern Mediterranean","70.2 [66.0-74.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Senegal","Male","2008","Africa","18.0 [6.4-34.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Serbia","Male","2008","Europe","65.3 [60.2-69.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Seychelles","Male","2008","Africa","50.9 [40.8-60.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Sierra Leone","Male","2008","Africa","21.2 [15.2-27.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Singapore","Male","2008","Western Pacific","32.3 [26.5-38.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Slovakia","Male","2008","Europe","63.9 [43.6-79.2]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Slovenia","Male","2008","Europe","67.6 [48.5-81.5]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Solomon Islands","Male","2008","Western Pacific","64.9 [56.3-71.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Somalia","Male","2008","Eastern Mediterranean","18.9 [4.9-38.8]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","South Africa","Male","2008","Africa","62.0 [56.1-66.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Spain","Male","2008","Europe","65.1 [60.2-69.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Sri Lanka","Male","2008","South-East Asia","16.5 [11.7-22.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Sudan","Male","2008","Eastern Mediterranean","21.6 [5.9-42.0]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Suriname","Male","2008","Americas","51.7 [29.1-70.8]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Swaziland","Male","2008","Africa","28.2 [8.8-51.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Sweden","Male","2008","Europe","57.3 [49.6-64.1]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Switzerland","Male","2008","Europe","55.0 [43.6-64.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Syrian Arab Republic","Male","2008","Eastern Mediterranean","63.4 [55.0-70.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Tajikistan","Male","2008","Europe","33.7 [12.1-56.8]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Thailand","Male","2008","South-East Asia","25.8 [21.3-30.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","The former Yugoslav Republic of Macedonia","Male","2008","Europe","59.6 [38.1-76.2]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Timor-Leste","Male","2008","South-East Asia","10.2 [1.9-27.7]","","","","
        No country data available.  Estimate modelled using data from other countries and specific country characteristics.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Togo","Male","2008","Africa","17.4 [4.6-36.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Tonga","Male","2008","Western Pacific","85.8 [81.6-89.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Trinidad and Tobago","Male","2008","Americas","59.7 [42.2-73.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Tunisia","Male","2008","Eastern Mediterranean","47.5 [34.9-59.0]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Turkey","Male","2008","Europe","61.4 [57.6-64.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Turkmenistan","Male","2008","Europe","47.1 [25.1-68.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Tuvalu","Male","2008","Western Pacific","...","","","","
        No data available.  Estimate could not be calculated due to lack of covariate data.        
      "
"BMI ? 25 (age-standardized estimate)","20+","Uganda","Male","2008","Africa","22.2 [5.6-45.4]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Ukraine","Male","2008","Europe","49.8 [26.2-70.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","United Arab Emirates","Male","2008","Eastern Mediterranean","71.3 [64.2-77.5]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","United Kingdom","Male","2008","Europe","65.6 [62.1-68.9]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","United Republic of Tanzania","Male","2008","Africa","22.1 [10.0-35.7]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","United States of America","Male","2008","Americas","72.5 [69.8-75.3]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Uruguay","Male","2008","Americas","59.0 [50.9-66.6]","","","",""
"BMI ? 25 (age-standardized estimate)","20+","Uzbekistan","Male","2008","Europe","48.9 [38.1-58.6]","","","",""
